Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
GECO;"ПАО ""ЦГРМ ""ГЕНЕТИКО""";ао;1-01-87198-H;83 000 000;34,56;2 868 480 000,00;;;;
GEMA;"ПАО ""ММЦБ""";ао;1-01-85932-H;14 929 920;150,1;2 240 980 992,00;;;;
GEMC;МКПАО ЮМГ;ао;1-01-16774-A;90 000 000;655,6;59 004 000 000,00;;;;
GMKN;"ПАО ""ГМК ""Норильский никель""";ао;1-01-40155-F;15 286 339 700;115,42;1 764 349 328 174,00;;;;
GTRK;"ПАО ""ГТМ""";ао;1-01-84907-H;58 462 120;324;18 941 726 880,00;;;;
HEAD;"МКПАО ""Хэдхантер""";ао;1-01-16755-A;36 804 228;4398;161 864 994 744,00;;;;
HIMCP;"ПАО ""Химпром""";ап;2-01-55076-D;229 631 402;24,16;5 547 894 672,32;;;;
HNFG;ПАО ЭЙЧ ЭФ ДЖИ;ао;1-01-03109-G;40 444 445;663,1;26 818 711 479,50;;;;
HYDR;"ПАО ""РусГидро""";ао;1-01-55038-E;444 793 377 038;0,5485;243 969 167 305,34;;;;
IGST;"ПАО ""Ижсталь""";ао;1-02-30078-D;800 729;8620;6 902 283 980,00;;;;
IGSTP;"ПАО ""Ижсталь""";ап;2-02-30078-D;266 910;5890;1 572 099 900,00;;;;
INGR;"ПАО ""ИНГРАД""";ао;1-01-50020-A;41 220 793;1534;63 232 696 462,00;;;;
IRAO;"ПАО ""Интер РАО""";ао;1-04-33498-E;104 400 000 000;3,8175;398 547 000 000,00;;;;
IRKT;"ПАО ""Яковлев""";ао;1-03-00040-A;11 686 422 311;55,5;648 596 438 260,50;;;;
IVAT;"ПАО ""ИВА""";ао;1-01-10876-P;100 000 000;222,05;22 205 000 000,00;;;;
JNOS;"ПАО ""Славнефть-ЯНОС""";ао;1-01-00199-A;932 654 723;19,9;18 559 828 987,70;;;;
JNOSP;"ПАО ""Славнефть-ЯНОС""";ап;2-01-00199-A;310 884 574;13,12;4 078 805 610,88;;;;
KAZT;"ПАО ""КуйбышевАзот""";ао;1-01-00067-A;234 147 999;510,8;119 602 797 889,20;;;;
