Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
UPRO;"ПАО ""Юнипро""";ао;1-02-65104-D;63 048 706 145;1,736;109 452 553 867,72;;;;
URKZ;"ПАО ""Уралкуз""";ао;1-01-32341-D;547 761;26700;14 625 218 700,00;;;;
USBN;"ПАО ""БАНК УРАЛСИБ""";ао;10200030B;360 134 697 357;0,1683;60 610 669 565,18;;;;
UTAR;"ПАО ""Авиакомпания ""ЮТэйр""";ао;1-01-00077-F;7 896 123 268;13,63;107 624 160 142,84;;;;
UWGN;"ПАО ""НПК ОВК""";ао;1-01-82031-H;2 905 885 544;55,15;160 259 587 751,60;;;;
VEON-RX;VEON Ltd.;ао;BMG9349W1038;1 749 127 404;27,6;48 275 916 350,40;;;;
VGSB;"ПАО ""Волгоградэнергосбыт""";ао;1-01-65103-D;319 595 965;13,36;4 269 802 092,40;;;;
VGSBP;"ПАО ""Волгоградэнергосбыт""";ап;2-01-65103-D;80 499 134;10,12;814 651 236,08;;;;
VJGZ;"ПАО ""ННК-Варьеганнефтегаз""";ао;1-01-00017-A;18 091 110;2625;47 489 163 750,00;;;;
VJGZP;"ПАО ""ННК-Варьеганнефтегаз""";ап;2-01-00017-A;5 883 050;1940;11 413 117 000,00;;;;
VKCO;"МКПАО ""ВК""";ао;1-01-16753-A;227 874 940;362,2;82 536 303 268,00;;;;
VLHZ;"ПАО ""ВХЗ""";ао;1-02-04847-A;5 005 605;221;1 106 238 705,00;;;;
VRSB;"ПАО ""ТНС энерго Воронеж""";ао;1-01-55029-E;56 151 024;508,5;28 552 795 704,00;;;;
VRSBP;"ПАО ""ТНС энерго Воронеж""";ап;2-01-55029-E;18 716 678;158;2 957 235 124,00;;;;
VSEH;"ПАО ""ВИ.ру""";ао;1-01-06636-G;500 000 000;129,7;64 850 000 000,00;;;;
VSMO;"ПАО ""Корпорация ВСМПО-АВИСМА""";ао;1-01-30202-D;11 529 538;27240;314 064 615 120,00;;;;
VSYD;"ПАО ""ВСЗ""";ао;1-01-02203-D;1 891 250;14350;27 139 437 500,00;;;;
VSYDP;"ПАО ""ВСЗ""";ап;2-01-02203-D;51 839;10100;523 573 900,00;;;;
VTBR;Банк ВТБ (ПАО);ао;10401000B;5 369 933 893;90,51;486 032 716 655,43;;;;
WTCM;"ПАО ""ЦМТ""";ао;1-01-01837-A;1 083 000 000;13,78;14 923 740 000,00;;;;
WTCMP;"ПАО ""ЦМТ""";ап;2-01-01837-A;162 000 000;9,46;1 532 520 000,00;;;;
WUSH;"ПАО ""ВУШ Холдинг""";ао;1-01-03292-G;111 382 432;207,05;23 061 732 545,60;;;;
YAKG;"ПАО ""ЯТЭК""";ао;1-01-20510-F;826 919 375;69,2;57 222 820 750,00;;;;
YDEX;"МКПАО ""ЯНДЕКС""";ао;1-01-16777-A;379 453 795;4051;1 537 167 323 545,00;;;;
YKEN;"ПАО ""Якутскэнерго""";ао;1-01-00304-A;10 187 741 424;0,537;5 470 817 144,69;;;;
YKENP;"ПАО ""Якутскэнерго""";ап;2-01-00304-A;1 332 635 125;0,465;619 675 333,13;;;;
YRSB;"ПАО ""ТНС энерго Ярославль""";ао;1-01-50099-A;17 143 584;882;15 120 641 088,00;;;;
YRSBP;"ПАО ""ТНС энерго Ярославль""";ап;2-01-50099-A;4 507 320;199,5;899 210 340,00;;;;
ZAYM;"ПАО МФК ""Займер""";ао;1-01-16767-A;100 000 000;180,3;18 030 000 000,00;;;;
ZILL;АМО ЗИЛ;ао;1-02-00036-A;2 659 962;3180;8 458 679 160,00;;;;
ZVEZ;"ПАО ""ЗВЕЗДА""";ао;1-01-00169-D;562 020 480;8,66;4 867 097 356,80;;;;
